game_id,offense,last_drive_q2_clock,last_drive_q2_play_id,last_drive_q2,last_drive_end_event_q2,next_drive_q3_play_id,next_drive_q3,next_drive_end_event_q3
19969,SCCI,02:48,3899598,5.0,PUNT,3900255,6.0,TOUCHDOWN
19970,KYUN,00:30,3911095,8.0,END OF HALF,3911387,9.0,PUNT
19970,LANE,01:24,3911001,7.0,PUNT,3911171,8.0,PUNT
19971,MAUN,00:29,3914650,8.0,END OF HALF,3914809,9.0,FUMBLE
19971,PAPT,03:15,3914420,7.0,TOUCHDOWN,3914732,8.0,PUNT
19972,UTST,00:54,3926771,6.0,END OF HALF,3926845,7.0,FIELD GOAL
19972,WAST,02:22,3926682,6.0,FIELD GOAL,3927065,7.0,TOUCHDOWN
19973,ILUN,00:46,3920521,6.0,END OF HALF,3920898,7.0,PUNT
19973,TXSN,01:47,3920334,7.0,FIELD GOAL,3921072,8.0,FUMBLE
19974,MDUN,01:58,3913658,8.0,FIELD GOAL,3914310,9.0,PUNT
19974,WVUN,00:22,3913789,7.0,END OF HALF,3914224,8.0,PUNT
19975,MIUN,03:47,3910118,6.0,FIELD GOAL,3910612,7.0,TOUCHDOWN
19975,MIWE,00:06,3910294,6.0,END OF HALF,3910410,7.0,PUNT
19976,VAUN,03:25,3919574,6.0,TOUCHDOWN,3920344,7.0,PUNT
19976,VAWM,00:32,3920067,7.0,END OF HALF,3920574,8.0,MISSED FG
19977,AZUN,02:00,3926311,5.0,FIELD GOAL,3926701,6.0,PUNT
19977,UTBY,00:13,3926636,6.0,END OF HALF,3926843,7.0,TOUCHDOWN
19978,NJMO,00:44,3920135,7.0,END OF HALF,3920568,8.0,PUNT
19978,TNMI,00:57,3920002,5.0,TOUCHDOWN,3920352,6.0,PUNT
19979,MABC,04:42,3910142,6.0,TOUCHDOWN,3910489,7.0,FIELD GOAL
19979,NYCG,01:20,3910303,6.0,END OF HALF,3910377,7.0,PUNT
19980,PADU,00:51,3922997,6.0,END OF HALF,3923275,7.0,FIELD GOAL
19980,TXCU,04:32,3922412,6.0,TOUCHDOWN,3923698,7.0,FIELD GOAL
19981,CTUN,00:03,3910385,9.0,END OF HALF,3910530,10.0,FUMBLE
19981,MAHC,02:59,3910266,8.0,FIELD GOAL,3910824,9.0,TOUCHDOWN
19982,IANO,07:25,3914311,5.0,FIELD GOAL,3915057,6.0,PUNT
19982,IAST,02:35,3914651,5.0,FIELD GOAL,3914894,6.0,PUNT
19983,OHTO,07:35,3918796,3.0,TOUCHDOWN,3919935,4.0,TOUCHDOWN
19983,VANO,00:24,3919686,6.0,END OF HALF,3920779,7.0,INTERCEPTION
19984,ALAU,01:06,3918636,6.0,FIELD GOAL,3919193,7.0,TOUCHDOWN
19984,OHAK,03:10,3918307,6.0,PUNT,3919446,7.0,SAFETY
19985,GAUN,00:53,3923062,5.0,END OF HALF,3923627,6.0,INTERCEPTION
19985,SCCL,02:58,3922692,6.0,PUNT,3923204,7.0,PUNT
19986,GAST,01:19,3910156,5.0,INTERCEPTION,3910452,6.0,DOWNS
19986,NYWP,01:16,3910169,5.0,TOUCHDOWN,3910387,6.0,PUNT
19987,TXBA,00:07,3920000,4.0,END OF HALF,3920194,5.0,PUNT
19987,TXSW,00:36,3919761,5.0,PUNT,3920383,6.0,PUNT
19988,FLBC,00:29,3925051,6.0,END OF HALF,3925266,7.0,TOUCHDOWN
19988,TXEP,01:35,3924793,6.0,PUNT,3925138,7.0,FUMBLE
19989,FLCE,01:27,3903353,7.0,TOUCHDOWN,3903535,8.0,TOUCHDOWN
19989,IDBO,03:13,3903290,6.0,PUNT,3903651,7.0,PUNT
19990,NCCM,00:20,3919800,7.0,END OF HALF,3920549,8.0,PUNT
19990,VALB,03:26,3918851,6.0,TOUCHDOWN,3920136,7.0,TOUCHDOWN
19991,ARCE,01:14,3922354,8.0,END OF HALF,3922741,9.0,PUNT
19991,ARST,02:40,3921884,8.0,FIELD GOAL,3923081,9.0,TOUCHDOWN
19992,MICE,00:02,3915233,7.0,END OF HALF,3915290,8.0,PUNT
19992,MOUN,00:54,3915096,7.0,FIELD GOAL,3915387,8.0,DOWNS
19993,NCCR,02:52,3906696,5.0,PUNT,3906953,6.0,TOUCHDOWN
19993,NCDU,01:18,3906760,6.0,END OF HALF,3907074,7.0,FUMBLE
19994,ILEA,00:34,3920243,6.0,END OF HALF,3920365,7.0,PUNT
19994,SCUN,01:33,3919840,6.0,TOUCHDOWN,3920900,7.0,FIELD GOAL
19995,TNEA,00:54,3923567,6.0,END OF HALF,3923743,7.0,FIELD GOAL
19995,TNVA,02:24,3923104,6.0,PUNT,3924210,7.0,DOWNS
19996,FLAT,03:37,3919817,4.0,DOWNS,3920569,5.0,PUNT
19996,FLUN,00:11,3920403,5.0,END OF HALF,3920748,6.0,TOUCHDOWN
19997,CAFR,01:16,3912533,7.0,TOUCHDOWN,3913131,8.0,TOUCHDOWN
19997,ORUN,00:03,3912824,7.0,END OF HALF,3912901,8.0,DOWNS
19998,GASO,01:57,3919790,4.0,FIELD GOAL,3920849,5.0,DOWNS
19998,NCGW,00:03,3920448,5.0,END OF HALF,3921400,6.0,PUNT
19999,IAUN,01:11,3913623,7.0,FIELD GOAL,3914551,8.0,PUNT
19999,INUN,01:41,3913582,8.0,INTERCEPTION,3914177,9.0,FIELD GOAL
20000,LANI,00:13,3920481,7.0,END OF HALF,3920933,8.0,TOUCHDOWN
20000,TNMS,01:44,3920082,6.0,FIELD GOAL,3920594,7.0,FIELD GOAL
20001,OHKS,01:09,3921435,5.0,INTERCEPTION,3921874,6.0,PUNT
20001,TXAM,00:20,3921670,6.0,END OF HALF,3922073,7.0,FIELD GOAL
20002,COAF,01:38,3912258,4.0,TOUCHDOWN,3912579,5.0,PUNT
20002,PALF,00:13,3912527,5.0,END OF HALF,3912753,6.0,TOUCHDOWN
20003,LASW,02:00,3916377,5.0,FIELD GOAL,3917423,6.0,TOUCHDOWN
20003,TXUN,09:45,3915467,4.0,TOUCHDOWN,3916924,5.0,TOUCHDOWN
20004,LATC,01:42,3914246,8.0,PUNT,3914628,9.0,PUNT
20004,MSST,00:53,3914318,9.0,END OF HALF,3914781,10.0,PUNT
